Date,Open,High,Low,Close,Volume
16.01.1928,122.534,122.665,122.473,122.655,60
17.01.1928,122.655,122.667,122.585,122.650,47
18.01.1928,122.598,122.650,122.253,122.385,92
19.01.1928,122.409,122.440,122.381,122.381,72
20.01.1928,122.381,122.526,122.364,122.408,80
21.01.1928,122.410,122.494,122.348,122.448,100
22.01.1928,122.388,122.624,122.388,122.595,92
23.01.1928,122.595,122.646,122.507,122.602,105
24.01.1928,122.602,122.602,122.521,122.567,43
25.01.1928,122.570,122.643,122.570,122.623,53
26.01.1928,122.632,122.695,122.601,122.677,62
27.01.1928,122.662,122.677,122.652,122.671,218
28.01.1928,122.670,122.679,122.600,122.669,97
29.01.1928,122.669,122.720,122.659,122.711,86
30.01.1928,122.689,122.716,122.640,122.677,88
31.01.1928,122.677,122.677,122.653,122.661,165
1.02.1928,122.662,122.673,122.652,122.668,46
2.02.1928,122.670,122.681,122.652,122.667,119
3.02.1928,122.667,122.673,122.639,122.654,91
4.02.1928,122.655,122.684,122.643,122.651,292
5.02.1928,122.651,122.660,122.607,122.648,340
6.02.1928,122.648,122.673,122.631,122.644,485
7.02.1928,122.644,122.677,122.636,122.658,321
8.02.1928,122.659,122.722,122.655,122.692,1197
9.02.1928,122.693,122.709,122.679,122.696,1218
10.02.1928,122.698,122.712,122.683,122.696,1950
11.02.1928,122.689,122.724,122.645,122.662,1565
12.02.1928,122.662,122.682,122.648,122.673,307
13.02.1928,122.673,122.690,122.640,122.649,389
14.02.1928,122.649,122.721,122.643,122.702,694
15.02.1928,122.717,122.717,122.643,122.649,528
16.02.1928,122.649,122.688,122.645,122.646,509
17.02.1928,122.646,122.668,122.643,122.664,341
18.02.1928,122.663,122.709,122.646,122.657,232
19.02.1928,122.651,122.670,122.641,122.649,209
20.02.1928,122.652,122.673,122.570,122.574,270
21.02.1928,122.574,122.685,122.551,122.611,838
22.02.1928,122.609,122.624,122.551,122.555,1078
23.02.1928,122.555,122.626,122.544,122.622,798
24.02.1928,122.622,122.657,122.551,122.561,436
25.02.1928,122.561,122.576,122.547,122.576,353
26.02.1928,122.573,122.576,122.420,122.444,682
27.02.1928,122.442,122.585,122.410,122.508,1236
28.02.1928,122.510,122.553,122.370,122.446,1258
29.02.1928,122.445,122.465,122.354,122.378,892
1.03.1928,122.387,122.425,122.371,122.372,545
2.03.1928,122.372,122.456,122.346,122.388,591
3.03.1928,122.388,122.514,122.381,122.427,665
4.03.1928,122.422,122.424,122.354,122.397,714
5.03.1928,122.397,122.460,122.358,122.358,470
6.03.1928,122.362,122.404,122.313,122.378,674
7.03.1928,122.377,122.437,122.354,122.411,472
8.03.1928,122.411,122.459,122.394,122.414,471
9.03.1928,122.412,122.443,122.407,122.421,527
10.03.1928,122.421,122.442,122.362,122.441,411
11.03.1928,122.449,122.467,122.418,122.430,713
12.03.1928,122.430,122.471,122.408,122.441,720
13.03.1928,122.441,122.470,122.431,122.455,765
14.03.1928,122.455,122.463,122.414,122.414,684
15.03.1928,122.418,122.466,122.396,122.446,1047
16.03.1928,122.455,122.460,122.422,122.446,869
17.03.1928,122.446,122.463,122.432,122.445,1433
18.03.1928,122.453,122.481,122.432,122.462,543
19.03.1928,122.462,122.464,122.422,122.457,665
20.03.1928,122.452,122.489,122.444,122.463,674
21.03.1928,122.462,122.470,122.453,122.459,304
22.03.1928,122.460,122.584,122.460,122.549,585
23.03.1928,122.549,122.569,122.526,122.563,603
24.03.1928,122.558,122.624,122.558,122.611,291
25.03.1928,122.611,122.611,122.540,122.593,556
26.03.1928,122.593,122.593,122.432,122.439,850
27.03.1928,122.436,122.491,122.389,122.476,771
28.03.1928,122.476,122.518,122.468,122.508,455
29.03.1928,122.507,122.547,122.476,122.526,547
30.03.1928,122.525,122.526,122.483,122.489,713
31.03.1928,122.487,122.507,122.472,122.497,564
1.04.1928,122.497,122.525,122.475,122.496,718
2.04.1928,122.497,122.510,122.485,122.493,522
3.04.1928,122.493,122.533,122.469,122.522,747
4.04.1928,122.521,122.631,122.515,122.591,499
5.04.1928,122.591,122.603,122.569,122.592,561
6.04.1928,122.593,122.640,122.592,122.612,542
7.04.1928,122.612,122.647,122.589,122.635,391
8.04.1928,122.635,122.661,122.579,122.598,357
9.04.1928,122.598,122.638,122.592,122.617,395
10.04.1928,122.617,122.643,122.608,122.613,421
11.04.1928,122.616,122.643,122.595,122.602,346
